record_id,episode_id,show_title,source,rule,detail,severity
REC00024,TBBT-S1E8,The Big Bang Theory,metacritic,MISSING_OR_INVALID_SCORE,raw_score is blank or not a valid number,High
REC00102,B99-S2E2,Brooklyn Nine-Nine,metacritic,MISSING_OR_INVALID_SCORE,raw_score is blank or not a valid number,High
REC00156,GOT-S1E4,Game of Thrones,metacritic,MISSING_OR_INVALID_SCORE,raw_score is blank or not a valid number,High
REC00170,GOT-S2E1,Game of Thrones,rotten_tomatoes,MISSING_OR_INVALID_SCORE,raw_score is blank or not a valid number,High
REC00187,GOT-S2E7,Game of Thrones,imdb,MISSING_OR_INVALID_SCORE,raw_score is blank or not a valid number,High
REC00223,OFC-S1E3,The Office,imdb,MISSING_OR_INVALID_SCORE,raw_score is blank or not a valid number,High
REC00254,OFC-S2E5,The Office,rotten_tomatoes,MISSING_OR_INVALID_SCORE,raw_score is blank or not a valid number,High
REC00285,OFC-S3E7,The Office,metacritic,MISSING_OR_INVALID_SCORE,raw_score is blank or not a valid number,High
REC00312,BRBA-S1E8,Breaking Bad,metacritic,MISSING_OR_INVALID_SCORE,raw_score is blank or not a valid number,High
REC00321,BRBA-S2E3,Breaking Bad,metacritic,MISSING_OR_INVALID_SCORE,raw_score is blank or not a valid number,High
REC00372,PARKS-S1E4,Parks and Recreation,metacritic,MISSING_OR_INVALID_SCORE,raw_score is blank or not a valid number,High
REC00013,TBBT-S1E5,The Big Bang Theory,imdb,SCORE_OUT_OF_RANGE,76.0 is outside the valid imdb range (0-10) - check for a wrong-scale entry,High
REC00017,TBBT-S1E6,The Big Bang Theory,rotten_tomatoes,SCORE_OUT_OF_RANGE,150 is outside the valid rotten_tomatoes range (0-100) - check for a wrong-scale entry,High
REC00084,B99-S1E4,Brooklyn 99,metacritic,SCORE_OUT_OF_RANGE,-5 is outside the valid metacritic range (0-100) - check for a wrong-scale entry,High
REC00110,B99-S2E5,Brooklyn Nine-Nine,rotten_tomatoes,SCORE_OUT_OF_RANGE,-1 is outside the valid rotten_tomatoes range (0-100) - check for a wrong-scale entry,High
REC00112,B99-S2E6,Brooklyn Nine-Nine,imdb,SCORE_OUT_OF_RANGE,-5 is outside the valid imdb range (0-10) - check for a wrong-scale entry,High
REC00142,B99-S3E8,Brooklyn Nine-Nine,imdb,SCORE_OUT_OF_RANGE,70.0 is outside the valid imdb range (0-10) - check for a wrong-scale entry,High
REC00154,GOT-S1E4,Game of Thrones,imdb,SCORE_OUT_OF_RANGE,61.0 is outside the valid imdb range (0-10) - check for a wrong-scale entry,High
REC00328,BRBA-S2E6,Breaking Bad,imdb,SCORE_OUT_OF_RANGE,63.0 is outside the valid imdb range (0-10) - check for a wrong-scale entry,High
REC00388,PARKS-S2E2,Parks and Recreation,imdb,SCORE_OUT_OF_RANGE,68.0 is outside the valid imdb range (0-10) - check for a wrong-scale entry,High
REC00441,GOT-S3E1,Game of Thrones,imdb,SCORE_OUT_OF_RANGE,10.2 is outside the valid imdb range (0-10) - check for a wrong-scale entry,High
REC00098,B99-S2E1,Brooklyn Nine-Nine,rotten_tomatoes,DUPLICATE_SUBMISSION,Source 'rotten_tomatoes' submitted a score for 'B99-S2E1' more than once,Medium
REC00119,B99-S2E8,Brooklyn Nine-Nine,rotten_tomatoes,DUPLICATE_SUBMISSION,Source 'rotten_tomatoes' submitted a score for 'B99-S2E8' more than once,Medium
REC00128,B99-S3E3,Brooklyn Nine-Nine,rotten_tomatoes,DUPLICATE_SUBMISSION,Source 'rotten_tomatoes' submitted a score for 'B99-S3E3' more than once,Medium
REC00144,B99-S3E8,Brooklyn Nine-Nine,metacritic,DUPLICATE_SUBMISSION,Source 'metacritic' submitted a score for 'B99-S3E8' more than once,Medium
REC00182,GOT-S2E5,Game of Thrones,rotten_tomatoes,DUPLICATE_SUBMISSION,Source 'rotten_tomatoes' submitted a score for 'GOT-S2E5' more than once,Medium
REC00193,GOT-S3E1,Game of Thrones,imdb,DUPLICATE_SUBMISSION,Source 'imdb' submitted a score for 'GOT-S3E1' more than once,Medium
REC00231,OFC-S1E5,The Office,metacritic,DUPLICATE_SUBMISSION,Source 'metacritic' submitted a score for 'OFC-S1E5' more than once,Medium
REC00271,OFC-S3E3,The Office,imdb,DUPLICATE_SUBMISSION,Source 'imdb' submitted a score for 'OFC-S3E3' more than once,Medium
REC00334,BRBA-S2E8,Breaking Bad,imdb,DUPLICATE_SUBMISSION,Source 'imdb' submitted a score for 'BRBA-S2E8' more than once,Medium
REC00359,BRBA-S3E8,Breaking Bad,rotten_tomatoes,DUPLICATE_SUBMISSION,Source 'rotten_tomatoes' submitted a score for 'BRBA-S3E8' more than once,Medium
REC00378,PARKS-S1E6,Parks and Recreation,metacritic,DUPLICATE_SUBMISSION,Source 'metacritic' submitted a score for 'PARKS-S1E6' more than once,Medium
REC00397,PARKS-S2E5,Parks and Recreation,imdb,DUPLICATE_SUBMISSION,Source 'imdb' submitted a score for 'PARKS-S2E5' more than once,Medium
REC00433,PARKS-S2E5,Parks and Recreation,imdb,DUPLICATE_SUBMISSION,Source 'imdb' submitted a score for 'PARKS-S2E5' more than once,Medium
REC00434,B99-S2E8,Brooklyn Nine-Nine,rotten_tomatoes,DUPLICATE_SUBMISSION,Source 'rotten_tomatoes' submitted a score for 'B99-S2E8' more than once,Medium
REC00435,BRBA-S2E8,Breaking Bad,imdb,DUPLICATE_SUBMISSION,Source 'imdb' submitted a score for 'BRBA-S2E8' more than once,Medium
REC00436,OFC-S1E5,The Office,metacritic,DUPLICATE_SUBMISSION,Source 'metacritic' submitted a score for 'OFC-S1E5' more than once,Medium
REC00437,B99-S3E3,Brooklyn Nine-Nine,rotten_tomatoes,DUPLICATE_SUBMISSION,Source 'rotten_tomatoes' submitted a score for 'B99-S3E3' more than once,Medium
REC00438,PARKS-S1E6,Parks and Recreation,metacritic,DUPLICATE_SUBMISSION,Source 'metacritic' submitted a score for 'PARKS-S1E6' more than once,Medium
REC00439,GOT-S2E5,Game of Thrones,rotten_tomatoes,DUPLICATE_SUBMISSION,Source 'rotten_tomatoes' submitted a score for 'GOT-S2E5' more than once,Medium
REC00440,OFC-S3E3,The Office,imdb,DUPLICATE_SUBMISSION,Source 'imdb' submitted a score for 'OFC-S3E3' more than once,Medium
REC00441,GOT-S3E1,Game of Thrones,imdb,DUPLICATE_SUBMISSION,Source 'imdb' submitted a score for 'GOT-S3E1' more than once,Medium
REC00442,B99-S2E1,Brooklyn Nine-Nine,rotten_tomatoes,DUPLICATE_SUBMISSION,Source 'rotten_tomatoes' submitted a score for 'B99-S2E1' more than once,Medium
REC00443,B99-S3E8,Brooklyn Nine-Nine,metacritic,DUPLICATE_SUBMISSION,Source 'metacritic' submitted a score for 'B99-S3E8' more than once,Medium
REC00444,BRBA-S3E8,Breaking Bad,rotten_tomatoes,DUPLICATE_SUBMISSION,Source 'rotten_tomatoes' submitted a score for 'BRBA-S3E8' more than once,Medium
REC00001,TBBT-S1E1,The Big Bang Theory,imdb,INCONSISTENT_SHOW_TITLE,"Show ID 'TBBT' maps to multiple title spellings: ['Big Bang Theory', 'TBBT', 'The Big Bang Theory', 'the big bang theory']",Low
REC00002,TBBT-S1E1,The Big Bang Theory,rotten_tomatoes,INCONSISTENT_SHOW_TITLE,"Show ID 'TBBT' maps to multiple title spellings: ['Big Bang Theory', 'TBBT', 'The Big Bang Theory', 'the big bang theory']",Low
REC00003,TBBT-S1E1,The Big Bang Theory,metacritic,INCONSISTENT_SHOW_TITLE,"Show ID 'TBBT' maps to multiple title spellings: ['Big Bang Theory', 'TBBT', 'The Big Bang Theory', 'the big bang theory']",Low
REC00004,TBBT-S1E2,The Big Bang Theory,imdb,INCONSISTENT_SHOW_TITLE,"Show ID 'TBBT' maps to multiple title spellings: ['Big Bang Theory', 'TBBT', 'The Big Bang Theory', 'the big bang theory']",Low
REC00005,TBBT-S1E2,The Big Bang Theory,rotten_tomatoes,INCONSISTENT_SHOW_TITLE,"Show ID 'TBBT' maps to multiple title spellings: ['Big Bang Theory', 'TBBT', 'The Big Bang Theory', 'the big bang theory']",Low
REC00006,TBBT-S1E2,The Big Bang Theory,metacritic,INCONSISTENT_SHOW_TITLE,"Show ID 'TBBT' maps to multiple title spellings: ['Big Bang Theory', 'TBBT', 'The Big Bang Theory', 'the big bang theory']",Low
REC00007,TBBT-S1E3,The Big Bang Theory,imdb,INCONSISTENT_SHOW_TITLE,"Show ID 'TBBT' maps to multiple title spellings: ['Big Bang Theory', 'TBBT', 'The Big Bang Theory', 'the big bang theory']",Low
REC00008,TBBT-S1E3,The Big Bang Theory,rotten_tomatoes,INCONSISTENT_SHOW_TITLE,"Show ID 'TBBT' maps to multiple title spellings: ['Big Bang Theory', 'TBBT', 'The Big Bang Theory', 'the big bang theory']",Low
REC00009,TBBT-S1E3,The Big Bang Theory,metacritic,INCONSISTENT_SHOW_TITLE,"Show ID 'TBBT' maps to multiple title spellings: ['Big Bang Theory', 'TBBT', 'The Big Bang Theory', 'the big bang theory']",Low
REC00010,TBBT-S1E4,The Big Bang Theory,imdb,INCONSISTENT_SHOW_TITLE,"Show ID 'TBBT' maps to multiple title spellings: ['Big Bang Theory', 'TBBT', 'The Big Bang Theory', 'the big bang theory']",Low
REC00011,TBBT-S1E4,The Big Bang Theory,rotten_tomatoes,INCONSISTENT_SHOW_TITLE,"Show ID 'TBBT' maps to multiple title spellings: ['Big Bang Theory', 'TBBT', 'The Big Bang Theory', 'the big bang theory']",Low
REC00012,TBBT-S1E4,The Big Bang Theory,metacritic,INCONSISTENT_SHOW_TITLE,"Show ID 'TBBT' maps to multiple title spellings: ['Big Bang Theory', 'TBBT', 'The Big Bang Theory', 'the big bang theory']",Low
REC00013,TBBT-S1E5,The Big Bang Theory,imdb,INCONSISTENT_SHOW_TITLE,"Show ID 'TBBT' maps to multiple title spellings: ['Big Bang Theory', 'TBBT', 'The Big Bang Theory', 'the big bang theory']",Low
REC00014,TBBT-S1E5,The Big Bang Theory,rotten_tomatoes,INCONSISTENT_SHOW_TITLE,"Show ID 'TBBT' maps to multiple title spellings: ['Big Bang Theory', 'TBBT', 'The Big Bang Theory', 'the big bang theory']",Low
REC00015,TBBT-S1E5,The Big Bang Theory,metacritic,INCONSISTENT_SHOW_TITLE,"Show ID 'TBBT' maps to multiple title spellings: ['Big Bang Theory', 'TBBT', 'The Big Bang Theory', 'the big bang theory']",Low
REC00016,TBBT-S1E6,The Big Bang Theory,imdb,INCONSISTENT_SHOW_TITLE,"Show ID 'TBBT' maps to multiple title spellings: ['Big Bang Theory', 'TBBT', 'The Big Bang Theory', 'the big bang theory']",Low
REC00017,TBBT-S1E6,The Big Bang Theory,rotten_tomatoes,INCONSISTENT_SHOW_TITLE,"Show ID 'TBBT' maps to multiple title spellings: ['Big Bang Theory', 'TBBT', 'The Big Bang Theory', 'the big bang theory']",Low
REC00018,TBBT-S1E6,The Big Bang Theory,metacritic,INCONSISTENT_SHOW_TITLE,"Show ID 'TBBT' maps to multiple title spellings: ['Big Bang Theory', 'TBBT', 'The Big Bang Theory', 'the big bang theory']",Low
REC00019,TBBT-S1E7,The Big Bang Theory,imdb,INCONSISTENT_SHOW_TITLE,"Show ID 'TBBT' maps to multiple title spellings: ['Big Bang Theory', 'TBBT', 'The Big Bang Theory', 'the big bang theory']",Low
REC00020,TBBT-S1E7,The Big Bang Theory,rotten_tomatoes,INCONSISTENT_SHOW_TITLE,"Show ID 'TBBT' maps to multiple title spellings: ['Big Bang Theory', 'TBBT', 'The Big Bang Theory', 'the big bang theory']",Low
